TransactionDate,SettlementDate,TransactionAccount,CurrencyPair,PrimaryCurrencyQuantity,SecondaryCurrencyQuantity
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84327000
2/3/2021,2/5/2021,Client B,AUD/JPY,1000000,-84311000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84284000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84258000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-84217000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-84172000
2/3/2021,2/5/2021,Client B,AUD/JPY,1000000,-84167000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84136000
2/3/2021,2/5/2021,Client B,AUD/JPY,1000000,-84128000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-84092000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-84075000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84062000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84052000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84051000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84050000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84023000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84016000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84015000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-84011000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83998000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83992000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83992000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83989000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83988000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-83970000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83957000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-83946000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-83941000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83938000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83937000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83931000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83924000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83920000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83917000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83911000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83905000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83880000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83874000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83872000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83852000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83848000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83814000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83785000
2/3/2021,2/5/2021,Client B,AUD/JPY,1000000,-83781000
2/3/2021,2/5/2021,Client A,AUD/JPY,1000000,-83775000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83773000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83772000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83756000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83755000
2/3/2021,2/5/2021,Client C,AUD/JPY,1000000,-83733000
2/3/2021,2/5/2021,Client C,AUD/JPY,800000,-67119200
2/3/2021,2/5/2021,Client C,AUD/JPY,762000,-63916560
2/3/2021,2/5/2021,Client C,AUD/JPY,761000,-63811372
2/3/2021,2/5/2021,Client B,AUD/JPY,615000,-51647700
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-42179000
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-42176500
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-42175500
2/3/2021,2/5/2021,Client C,AUD/JPY,500000,-42063500
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-42059500
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-41985000
2/3/2021,2/5/2021,Client C,AUD/JPY,500000,-41984000
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-41982000
2/3/2021,2/5/2021,Client A,AUD/JPY,500000,-41979000
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-41976500
2/3/2021,2/5/2021,Client B,AUD/JPY,500000,-41949500
2/3/2021,2/5/2021,Client B,AUD/JPY,484000,-40639544
